Transaction_number,1,2,3,4,5,6,7,8,9
510,white bread,brown bread,,,,,,,
511,brown bread,sugar,hygiene articles,,,,,,
512,tropical fruit,root vegetables,coffee,bottled water,red/blush wine,candy,house keeping products,shopping bags,
513,domestic eggs,,,,,,,,
514,coffee,detergent,hygiene articles,photo/film,,,,,
515,soda,,,,,,,,
516,whole milk,,,,,,,,
517,bottled beer,,,,,,,,
518,pork,beef,berries,packaged fruit/vegetables,whole milk,mayonnaise,frozen fish,frozen potato products,oil
519,other vegetables,yogurt,,,,,,,
520,yogurt,bottled water,dishes,,,,,,
521,sparkling wine,,,,,,,,
522,bottled water,candy,,,,,,,
523,citrus fruit,berries,other vegetables,butter milk,sugar,fruit/vegetable juice,hygiene articles,,
524,hamburger meat,root vegetables,other vegetables,whole milk,rolls/buns,,,,
525,packaged fruit/vegetables,seasonal products,,,,,,,
526,other vegetables,margarine,,,,,,,
527,soda,,,,,,,,
528,whole milk,yogurt,frozen potato products,margarine,bottled water,fruit/vegetable juice,salty snack,,
529,herbs,yogurt,,,,,,,
530,citrus fruit,spread cheese,rolls/buns,soda,,,,,
531,misc. beverages,,,,,,,,
532,female sanitary products,,,,,,,,
533,soda,,,,,,,,
534,tropical fruit,whole milk,beverages,white bread,pasta,shopping bags,,,
535,soda,female sanitary products,,,,,,,
536,white bread,bottled water,soda,waffles,,,,,
537,coffee,chewing gum,chocolate marshmallow,,,,,,
538,tropical fruit,root vegetables,whole milk,frozen vegetables,honey,baking powder,coffee,red/blush wine,chocolate marshmallow
539,pork,pip fruit,whole milk,butter milk,,,,,
540,citrus fruit,bottled water,,,,,,,
541,frankfurter,,,,,,,,
542,frankfurter,rolls/buns,,,,,,,
543,frankfurter,tropical fruit,pip fruit,curd,UHT-milk,hard cheese,domestic eggs,rolls/buns,hygiene articles
544,other vegetables,,,,,,,,
545,yogurt,fruit/vegetable juice,newspapers,,,,,,
546,sausage,whole milk,yogurt,brown bread,cereals,bottled water,soda,,
547,whole milk,,,,,,,,
548,pip fruit,whole milk,curd,pastry,bottled water,,,,
549,whole milk,,,,,,,,
550,root vegetables,other vegetables,,,,,,,
551,onions,fruit/vegetable juice,,,,,,,
552,specialty chocolate,,,,,,,,
553,hamburger meat,domestic eggs,,,,,,,
554,photo/film,,,,,,,,
555,rolls/buns,soda,snack products,newspapers,,,,,
556,canned beer,,,,,,,,
557,canned beer,,,,,,,,
558,other vegetables,curd,frozen meals,frozen potato products,soda,bottled beer,kitchen towels,candles,
559,canned beer,,,,,,,,
560,curd,whipped/sour cream,rolls/buns,zwieback,spices,,,,
561,butter,fruit/vegetable juice,newspapers,,,,,,
562,other vegetables,whole milk,yogurt,domestic eggs,bottled water,soda,,,
563,whole milk,,,,,,,,
564,beef,tropical fruit,herbs,whole milk,curd,yogurt,whipped/sour cream,sliced cheese,
565,sausage,rolls/buns,,,,,,,
566,soda,,,,,,,,
567,fruit/vegetable juice,long life bakery product,,,,,,,
568,rolls/buns,coffee,long life bakery product,detergent,shopping bags,,,,
569,pip fruit,whole milk,bottled water,candy,,,,,
570,frozen vegetables,bottled beer,liquor (appetizer),chewing gum,napkins,newspapers,,,
571,beverages,,,,,,,,
572,hamburger meat,root vegetables,other vegetables,domestic eggs,roll products ,oil,margarine,hygiene articles,
573,root vegetables,other vegetables,whole milk,yogurt,fruit/vegetable juice,white wine,,,
574,canned beer,,,,,,,,
575,frozen vegetables,bottled beer,,,,,,,
576,canned beer,,,,,,,,
577,newspapers,,,,,,,,
578,rolls/buns,,,,,,,,
579,hamburger meat,UHT-milk,salty snack,,,,,,
580,pip fruit,whole milk,curd,rum,,,,,
581,canned beer,,,,,,,,
582,grapes,root vegetables,frozen vegetables,domestic eggs,white wine,,,,
583,root vegetables,packaged fruit/vegetables,butter,whipped/sour cream,rolls/buns,,,,
584,citrus fruit,frozen vegetables,rolls/buns,canned beer,salty snack,,,,
585,cling film/bags,pot plants,,,,,,,
586,frankfurter,whole milk,rolls/buns,margarine,baking powder,bottled beer,,,
587,whole milk,red/blush wine,,,,,,,
588,pork,tropical fruit,whole milk,curd,yogurt,hard cheese,frozen meals,frozen dessert,domestic eggs
589,chicken,pastry,,,,,,,
590,sausage,dish cleaner,dishes,,,,,,
591,specialty bar,,,,,,,,
592,whipped/sour cream,pastry,specialty bar,,,,,,
593,root vegetables,brown bread,,,,,,,
594,rolls/buns,soda,,,,,,,
595,other vegetables,bottled beer,red/blush wine,,,,,,
596,citrus fruit,tropical fruit,berries,root vegetables,other vegetables,whole milk,butter,bottled water,rubbing alcohol
597,whole milk,processed cheese,brown bread,pastry,soda,,,,
598,frankfurter,sausage,tropical fruit,root vegetables,whole milk,yogurt,rolls/buns,pastry,candy
599,coffee,long life bakery product,,,,,,,
600,ham,rolls/buns,white wine,,,,,,
601,canned beer,,,,,,,,
602,canned beer,,,,,,,,
603,canned beer,,,,,,,,
604,pip fruit,whole milk,canned fish,,,,,,
605,pork,pip fruit,other vegetables,whole milk,curd,white bread,sugar,bottled water,soda
606,soap,,,,,,,,
607,pip fruit,butter,frozen meals,pasta,bottled water,,,,
608,beef,hamburger meat,citrus fruit,whole milk,mustard,soap,,,
609,sausage,meat,other vegetables,whole milk,yogurt,rolls/buns,soda,bottled beer,chocolate
610,frozen chicken,,,,,,,,
611,soda,,,,,,,,
612,tropical fruit,curd,yogurt,rolls/buns,brown bread,bottled water,bottled beer,seasonal products,
613,other vegetables,,,,,,,,
614,beef,citrus fruit,curd,rolls/buns,oil,margarine,specialty bar,detergent,newspapers
615,meat,pork,beef,citrus fruit,root vegetables,other vegetables,whole milk,pickled vegetables,
616,meat,hamburger meat,root vegetables,packaged fruit/vegetables,whole milk,butter,newspapers,,
617,bottled water,soda,red/blush wine,long life bakery product,newspapers,,,,
618,rolls/buns,,,,,,,,
619,pastry,canned beer,,,,,,,
620,pork,whole milk,pastry,sauces,,,,,
621,pip fruit,sliced cheese,pastry,white wine,light bulbs,newspapers,,,
622,beef,citrus fruit,tropical fruit,yogurt,UHT-milk,frozen vegetables,rolls/buns,bottled water,skin care
623,beef,citrus fruit,berries,brown bread,sugar,coffee,kitchen towels,,
624,rolls/buns,spices,,,,,,,
625,citrus fruit,tropical fruit,herbs,whole milk,butter,curd,whipped/sour cream,frozen vegetables,canned vegetables
626,meat,beef,herbs,whole milk,frozen dessert,rolls/buns,semi-finished bread,flour,oil
627,beverages,pastry,bottled water,,,,,,
628,beef,citrus fruit,other vegetables,rolls/buns,,,,,
629,ham,whole milk,white bread,margarine,hair spray,,,,
630,hamburger meat,whole milk,oil,ketchup,soups,Instant food products,canned fish,coffee,bottled beer
631,beef,citrus fruit,other vegetables,butter milk,sliced cheese,processed cheese,rolls/buns,margarine,bottled water
632,beef,citrus fruit,whole milk,domestic eggs,rolls/buns,pastry,roll products ,tea,fruit/vegetable juice
633,root vegetables,whole milk,detergent,,,,,,
634,citrus fruit,tropical fruit,grapes,other vegetables,frozen vegetables,pickled vegetables,fruit/vegetable juice,liquor,rum
635,yogurt,bottled water,,,,,,,
636,tropical fruit,root vegetables,other vegetables,whipped/sour cream,brown bread,canned fish,long life bakery product,,
637,frankfurter,root vegetables,newspapers,,,,,,
638,beef,other vegetables,whole milk,brown bread,pastry,salty snack,abrasive cleaner,shopping bags,
639,shopping bags,,,,,,,,
640,canned beer,,,,,,,,
641,rolls/buns,canned beer,,,,,,,
642,other vegetables,rolls/buns,meat spreads,bottled water,soda,misc. beverages,waffles,chocolate,candy
643,hamburger meat,other vegetables,yogurt,rolls/buns,bottled water,,,,
644,hamburger meat,citrus fruit,root vegetables,rolls/buns,Instant food products,canned fish,bottled water,soda,fruit/vegetable juice
645,frankfurter,sausage,domestic eggs,soda,chewing gum,shopping bags,,,
646,bottled beer,,,,,,,,
647,tropical fruit,domestic eggs,rolls/buns,pastry,,,,,
648,soda,,,,,,,,
649,frankfurter,root vegetables,onions,other vegetables,white bread,canned beer,,,
650,chicken,hamburger meat,herbs,whipped/sour cream,soups,soda,canned beer,dish cleaner,napkins
651,coffee,soda,,,,,,,
652,whole milk,,,,,,,,
653,margarine,,,,,,,,
654,tropical fruit,other vegetables,,,,,,,
655,meat,other vegetables,,,,,,,
656,cream cheese ,bottled water,canned beer,,,,,,
657,newspapers,,,,,,,,
658,rolls/buns,pastry,newspapers,,,,,,
659,citrus fruit,other vegetables,whole milk,curd,yogurt,potato products,fruit/vegetable juice,long life bakery product,
660,whole milk,rolls/buns,detergent,,,,,,
661,frankfurter,citrus fruit,butter milk,UHT-milk,rolls/buns,female sanitary products,shopping bags,,
662,ham,other vegetables,butter,whipped/sour cream,sugar,soda,,,
663,frankfurter,citrus fruit,bottled beer,salty snack,,,,,
664,sausage,onions,curd,yogurt,domestic eggs,coffee,,,
665,domestic eggs,,,,,,,,
666,whole milk,domestic eggs,rolls/buns,soda,,,,,
667,rolls/buns,bottled beer,newspapers,,,,,,
668,whole milk,hard cheese,chocolate marshmallow,,,,,,
669,sausage,root vegetables,other vegetables,rolls/buns,soda,,,,
670,curd,butter milk,yogurt,beverages,,,,,
671,bottled water,,,,,,,,
672,beef,,,,,,,,
673,frankfurter,hamburger meat,whole milk,rolls/buns,potato products,mustard,coffee,waffles,chocolate marshmallow
674,chicken,butter,newspapers,,,,,,
675,sausage,meat,tropical fruit,pip fruit,pastry,sugar,coffee,candles,pot plants
676,pork,whole milk,whipped/sour cream,beverages,,,,,
677,yogurt,pastry,coffee,,,,,,
678,whole milk,sliced cheese,margarine,cat food,detergent,dishes,shopping bags,,
679,frankfurter,ham,whole milk,yogurt,rolls/buns,pastry,vinegar,sugar,soda
680,beef,whole milk,brown bread,specialty chocolate,newspapers,,,,
681,pip fruit,other vegetables,butter milk,cream cheese ,rolls/buns,,,,
682,sausage,whole milk,rolls/buns,coffee,chocolate,,,,
683,pastry,coffee,,,,,,,
684,chicken,beef,specialty chocolate,,,,,,
685,root vegetables,other vegetables,whole milk,sliced cheese,frozen vegetables,frozen fish,frozen dessert,chocolate,
686,whole milk,frozen meals,rolls/buns,,,,,,
687,detergent,,,,,,,,
688,rolls/buns,canned fish,,,,,,,
689,house keeping products,,,,,,,,
690,yogurt,salt,jam,sparkling wine,cleaner,,,,
691,tropical fruit,curd,sliced cheese,rolls/buns,soda,,,,
692,tropical fruit,,,,,,,,
693,curd,UHT-milk,artif. sweetener,dental care,,,,,
694,beef,berries,onions,rolls/buns,,,,,
695,whole milk,brown bread,pasta,margarine,bottled water,napkins,newspapers,,
696,pork,UHT-milk,bottled water,soda,canned beer,,,,
697,other vegetables,curd,yogurt,curd cheese,margarine,cleaner,hygiene articles,,
698,rolls/buns,soda,fruit/vegetable juice,canned beer,white wine,long life bakery product,shopping bags,,
699,frankfurter,pip fruit,whole milk,rolls/buns,roll products ,,,,
700,yogurt,hygiene articles,newspapers,shopping bags,,,,,
701,whole milk,curd,sliced cheese,cat food,coffee,,,,
702,bottled water,candy,,,,,,,
703,frankfurter,beef,butter,,,,,,
704,rolls/buns,soda,snack products,shopping bags,,,,,
705,whole milk,pastry,bottled water,hygiene articles,,,,,
706,rolls/buns,,,,,,,,
707,chicken,onions,other vegetables,whole milk,brown bread,white wine,red/blush wine,,
708,tropical fruit,onions,whole milk,butter,dishes,,,,
709,sausage,turkey,other vegetables,yogurt,brown bread,oil,hygiene articles,shopping bags,
710,sausage,other vegetables,whole milk,curd,hard cheese,soda,candy,newspapers,
711,frankfurter,citrus fruit,pastry,margarine,ready soups,instant coffee,shopping bags,,
712,UHT-milk,frozen dessert,fruit/vegetable juice,decalcifier,newspapers,,,,
713,rolls/buns,newspapers,,,,,,,
714,canned beer,,,,,,,,
715,yogurt,specialty bar,,,,,,,
716,whipped/sour cream,specialty bar,,,,,,,
717,rolls/buns,canned beer,,,,,,,
718,rolls/buns,,,,,,,,
719,beverages,rolls/buns,,,,,,,
720,rolls/buns,,,,,,,,
721,rolls/buns,shopping bags,,,,,,,
722,bottled beer,,,,,,,,
723,citrus fruit,curd,yogurt,sliced cheese,rolls/buns,oil,bottled water,,
724,bottled water,soda,,,,,,,
725,pastry,,,,,,,,
726,domestic eggs,rolls/buns,pastry,coffee,candles,,,,
727,beef,pip fruit,root vegetables,rolls/buns,margarine,,,,
728,spread cheese,rolls/buns,bottled water,newspapers,,,,,
729,tropical fruit,spread cheese,rolls/buns,soda,,,,,
730,packaged fruit/vegetables,canned beer,candles,,,,,,
731,whole milk,yogurt,bottled beer,white wine,salty snack,napkins,,,
732,meat,beef,other vegetables,whole milk,butter,domestic eggs,rolls/buns,,
733,onions,whole milk,bottled beer,liquor (appetizer),detergent,dishes,,,
734,frankfurter,grapes,other vegetables,butter milk,UHT-milk,brown bread,margarine,organic products,bottled water
735,beef,rolls/buns,bottled beer,,,,,,
736,beef,,,,,,,,
737,sausage,bottled beer,liquor (appetizer),,,,,,
738,chicken,onions,herbs,hygiene articles,,,,,
739,canned beer,,,,,,,,
740,sausage,root vegetables,other vegetables,whole milk,bottled beer,seasonal products,,,
741,tropical fruit,whole milk,curd,yogurt,whipped/sour cream,,,,
742,frankfurter,rolls/buns,soda,abrasive cleaner,newspapers,flower (seeds),,,
743,sausage,tropical fruit,semi-finished bread,,,,,,
744,beef,tropical fruit,root vegetables,yogurt,,,,,
745,tropical fruit,pastry,flour,rum,,,,,
746,yogurt,,,,,,,,
747,frankfurter,rolls/buns,mustard,,,,,,
748,bottled beer,,,,,,,,
749,grapes,soda,,,,,,,
750,beverages,rolls/buns,,,,,,,
751,curd,bottled beer,pot plants,,,,,,
752,ice cream,sugar,flower (seeds),,,,,,
753,sausage,rolls/buns,soda,canned beer,shopping bags,,,,
754,other vegetables,,,,,,,,
755,dessert,beverages,bottled water,,,,,,
756,decalcifier,,,,,,,,
757,canned beer,,,,,,,,
758,coffee,,,,,,,,
759,berries,other vegetables,whole milk,whipped/sour cream,,,,,
760,pork,tropical fruit,rolls/buns,semi-finished bread,bottled beer,newspapers,,,
761,frankfurter,chicken,pork,citrus fruit,other vegetables,whole milk,butter milk,whipped/sour cream,cream cheese 
762,pork,beef,whole milk,domestic eggs,bottled water,bottled beer,hygiene articles,,
763,frankfurter,pork,citrus fruit,root vegetables,onions,other vegetables,packaged fruit/vegetables,cat food,bottled water
764,frozen dessert,brandy,,,,,,,
765,chicken,other vegetables,packaged fruit/vegetables,condensed milk,frozen vegetables,fruit/vegetable juice,,,
766,vinegar,oil,,,,,,,
767,rolls/buns,soda,specialty bar,,,,,,
768,whole milk,,,,,,,,
769,pork,root vegetables,whole milk,whipped/sour cream,,,,,
770,rolls/buns,newspapers,,,,,,,
771,grapes,other vegetables,zwieback,Instant food products,dishes,,,,
772,frankfurter,citrus fruit,whipped/sour cream,cream cheese ,rolls/buns,baking powder,seasonal products,napkins,
773,finished products,root vegetables,packaged fruit/vegetables,yogurt,specialty cheese,frozen vegetables,ice cream,soda,bottled beer
774,onions,other vegetables,flour,,,,,,
775,tropical fruit,whole milk,rolls/buns,,,,,,
776,other vegetables,cream cheese ,tea,chocolate,chocolate marshmallow,,,,
777,ham,turkey,beef,other vegetables,whole milk,pot plants,,,
778,other vegetables,whole milk,margarine,bottled beer,,,,,
779,curd,,,,,,,,
780,sausage,beef,other vegetables,,,,,,
781,canned beer,liquor (appetizer),chewing gum,,,,,,
782,ham,chicken,citrus fruit,berries,onions,whole milk,curd,yogurt,frozen vegetables
783,packaged fruit/vegetables,whole milk,dessert,yogurt,UHT-milk,margarine,bottled water,long life bakery product,
784,meat,rolls/buns,soda,specialty bar,,,,,
785,whole milk,dessert,,,,,,,
786,canned beer,,,,,,,,
787,chicken,UHT-milk,rolls/buns,coffee,long life bakery product,house keeping products,,,
788,rolls/buns,red/blush wine,newspapers,,,,,,
789,pet care,bottled water,,,,,,,
790,root vegetables,other vegetables,soda,shopping bags,,,,,
791,pastry,,,,,,,,
792,frankfurter,hamburger meat,whole milk,domestic eggs,rolls/buns,brown bread,margarine,bottled water,flower (seeds)
793,chicken,grapes,whole milk,whipped/sour cream,mayonnaise,,,,
794,frozen dessert,semi-finished bread,,,,,,,
795,citrus fruit,tropical fruit,grapes,yogurt,rolls/buns,margarine,canned fruit,bottled water,soda
796,sausage,pork,beef,berries,root vegetables,whole milk,butter,rolls/buns,cat food
797,root vegetables,onions,other vegetables,packaged fruit/vegetables,whole milk,whipped/sour cream,frozen vegetables,rolls/buns,pasta
798,root vegetables,whole milk,yogurt,rolls/buns,,,,,
799,bottled beer,,,,,,,,
800,frankfurter,canned beer,,,,,,,
801,root vegetables,whole milk,butter,coffee,,,,,
802,berries,other vegetables,whipped/sour cream,UHT-milk,bottled water,soda,hygiene articles,newspapers,
803,hamburger meat,,,,,,,,
804,tropical fruit,whole milk,rolls/buns,semi-finished bread,margarine,fruit/vegetable juice,long life bakery product,newspapers,
805,frankfurter,pork,beverages,frozen meals,waffles,,,,
806,frankfurter,sausage,frozen fish,margarine,specialty bar,,,,
807,soda,newspapers,,,,,,,
808,ice cream,,,,,,,,
809,beef,whole milk,frozen vegetables,brown bread,pastry,coffee,,,
810,whole milk,pastry,bottled water,newspapers,photo/film,,,,
811,pork,fish,whole milk,butter,curd,yogurt,whipped/sour cream,flour,sugar
812,whole milk,chewing gum,,,,,,,
813,bottled beer,,,,,,,,
814,pork,grapes,UHT-milk,brown bread,margarine,,,,
815,root vegetables,pot plants,,,,,,,
816,canned beer,,,,,,,,
817,citrus fruit,root vegetables,whole milk,butter,whipped/sour cream,oil,mustard,bottled water,bottled beer
818,pip fruit,herbs,other vegetables,whole milk,coffee,female sanitary products,hygiene articles,shopping bags,
819,root vegetables,dessert,yogurt,cream cheese ,rice,,,,
820,tropical fruit,curd,rolls/buns,organic products,newspapers,,,,
821,beef,root vegetables,other vegetables,whole milk,butter,soft cheese,hard cheese,domestic eggs,pasta
822,chicken,pork,whole milk,butter,white bread,,,,
823,citrus fruit,grapes,whole milk,rolls/buns,pastry,oil,margarine,candles,newspapers
824,meat,beef,tropical fruit,pip fruit,other vegetables,whipped/sour cream,soft cheese,frozen meals,margarine
825,cream cheese ,spread cheese,rolls/buns,,,,,,
826,citrus fruit,herbs,whole milk,bottled water,bottled beer,pot plants,,,
827,specialty bar,,,,,,,,
828,meat,other vegetables,whole milk,beverages,rolls/buns,margarine,chocolate,napkins,newspapers
829,citrus fruit,tropical fruit,pip fruit,,,,,,
830,frankfurter,beef,tropical fruit,root vegetables,packaged fruit/vegetables,whole milk,frozen vegetables,,
831,citrus fruit,whole milk,,,,,,,
832,turkey,root vegetables,other vegetables,curd,bottled beer,specialty chocolate,,,
833,citrus fruit,onions,whole milk,curd,yogurt,rolls/buns,pasta,mustard,dog food
834,sausage,domestic eggs,,,,,,,
835,newspapers,,,,,,,,
836,whole milk,yogurt,,,,,,,
837,yogurt,,,,,,,,
838,yogurt,,,,,,,,
839,bottled water,,,,,,,,
840,berries,whole milk,whipped/sour cream,domestic eggs,,,,,
841,packaged fruit/vegetables,whole milk,rolls/buns,pastry,,,,,
842,frankfurter,soda,,,,,,,
843,nuts/prunes,whole milk,semi-finished bread,jam,soda,pot plants,shopping bags,,
844,citrus fruit,other vegetables,packaged fruit/vegetables,whole milk,butter,whipped/sour cream,flour,sugar,coffee
845,beef,citrus fruit,root vegetables,onions,curd,hard cheese,rolls/buns,fruit/vegetable juice,
846,whole milk,yogurt,frozen vegetables,coffee,canned beer,napkins,,,
847,other vegetables,whipped/sour cream,,,,,,,
848,beef,other vegetables,,,,,,,
849,fish,berries,other vegetables,whole milk,dessert,yogurt,spread cheese,coffee,white wine
850,other vegetables,whole milk,curd,frozen vegetables,domestic eggs,sugar,instant coffee,newspapers,
851,tropical fruit,berries,root vegetables,whole milk,butter,yogurt,whipped/sour cream,sliced cheese,hard cheese
852,coffee,,,,,,,,
853,sausage,pork,other vegetables,frozen fish,rolls/buns,semi-finished bread,artif. sweetener,ready soups,bottled water
854,meat,root vegetables,whipped/sour cream,beverages,cream cheese ,waffles,dishes,,
855,chicken,tropical fruit,pip fruit,root vegetables,other vegetables,packaged fruit/vegetables,butter,rolls/buns,margarine
856,berries,whole milk,whipped/sour cream,margarine,organic products,fruit/vegetable juice,shopping bags,,
857,frozen meals,misc. beverages,,,,,,,
858,whipped/sour cream,,,,,,,,
859,beef,root vegetables,bottled beer,chocolate,shopping bags,,,,
860,chicken,pork,other vegetables,whole milk,whipped/sour cream,UHT-milk,domestic eggs,rolls/buns,bottled water
861,chicken,pork,hamburger meat,pip fruit,nuts/prunes,root vegetables,other vegetables,whole milk,spread cheese
862,beef,tropical fruit,root vegetables,herbs,other vegetables,whole milk,yogurt,hard cheese,rolls/buns
863,packaged fruit/vegetables,pickled vegetables,,,,,,,
864,sugar,,,,,,,,
865,frankfurter,sausage,beef,root vegetables,packaged fruit/vegetables,whole milk,dessert,yogurt,sliced cheese
866,berries,frozen vegetables,pet care,instant coffee,,,,,
867,bottled water,soda,chewing gum,napkins,,,,,
868,sausage,chicken,citrus fruit,berries,root vegetables,curd,beverages,abrasive cleaner,
869,whole milk,UHT-milk,domestic eggs,soda,fruit/vegetable juice,dishes,newspapers,,
870,ice cream,rolls/buns,,,,,,,
871,frankfurter,citrus fruit,tropical fruit,rolls/buns,,,,,
872,root vegetables,whole milk,white bread,brown bread,sweet spreads,dog food,brandy,shopping bags,
873,sausage,rolls/buns,specialty chocolate,,,,,,
874,sausage,ham,citrus fruit,tropical fruit,berries,packaged fruit/vegetables,whole milk,whipped/sour cream,sliced cheese
875,beef,root vegetables,whole milk,cream cheese ,,,,,
876,fruit/vegetable juice,,,,,,,,
877,sugar,hygiene articles,,,,,,,
878,berries,whipped/sour cream,,,,,,,
879,yogurt,beverages,coffee,,,,,,
880,pork,beef,,,,,,,
881,bottled beer,shopping bags,,,,,,,
882,curd,butter milk,yogurt,sliced cheese,coffee,,,,
883,beef,Instant food products,canned beer,,,,,,
884,pork,berries,whipped/sour cream,beverages,flour,oil,soda,chocolate,newspapers
885,white bread,,,,,,,,
886,grapes,whole milk,processed cheese,rolls/buns,white bread,fruit/vegetable juice,,,
887,potato products,flower (seeds),,,,,,,
888,root vegetables,onions,yogurt,rolls/buns,coffee,bottled water,dishes,,
889,chicken,hamburger meat,UHT-milk,soda,canned beer,bathroom cleaner,newspapers,,
890,chicken,other vegetables,salt,,,,,,
891,fish,cream cheese ,coffee,,,,,,
892,canned beer,,,,,,,,
893,other vegetables,whole milk,frozen meals,rolls/buns,brown bread,napkins,,,
894,chicken,pork,whole milk,frozen vegetables,brown bread,vinegar,bottled beer,red/blush wine,newspapers
895,other vegetables,misc. beverages,,,,,,,
896,tropical fruit,whole milk,,,,,,,
897,whole milk,cake bar,newspapers,,,,,,
898,beef,hamburger meat,berries,pastry,hygiene articles,,,,
899,sausage,grapes,rolls/buns,soda,salty snack,,,,
900,whole milk,rolls/buns,chocolate,,,,,,
901,rolls/buns,soda,,,,,,,
902,citrus fruit,tropical fruit,pip fruit,other vegetables,,,,,
903,whole milk,sliced cheese,domestic eggs,artif. sweetener,bottled water,soda,shopping bags,,
904,pastry,soda,bottled beer,,,,,,
905,tropical fruit,other vegetables,whole milk,yogurt,soft cheese,hard cheese,spread cheese,curd cheese,frozen vegetables
906,sliced cheese,pastry,newspapers,,,,,,
907,soda,,,,,,,,
908,ham,citrus fruit,whole milk,dessert,frozen meals,coffee,popcorn,shopping bags,
909,salty snack,,,,,,,,
910,whole milk,curd,cream cheese ,flour,coffee,bottled water,misc. beverages,newspapers,
911,root vegetables,whipped/sour cream,,,,,,,
912,soda,canned beer,shopping bags,,,,,,
913,curd,roll products ,margarine,bottled water,canned beer,white wine,dish cleaner,,
914,bottled water,soda,fruit/vegetable juice,bottled beer,napkins,,,,
915,packaged fruit/vegetables,pot plants,,,,,,,
916,tropical fruit,root vegetables,frozen vegetables,ice cream,bottled water,cling film/bags,,,
917,ham,beef,grapes,yogurt,whipped/sour cream,domestic eggs,white bread,pastry,bottled water
918,pork,citrus fruit,UHT-milk,brown bread,soda,bottled beer,canned beer,long life bakery product,
919,beverages,rolls/buns,soda,misc. beverages,liqueur,cake bar,,,
920,sausage,rolls/buns,soda,,,,,,
921,sausage,citrus fruit,whole milk,yogurt,rolls/buns,bottled water,soda,napkins,
922,root vegetables,whole milk,butter,yogurt,cream cheese ,frozen fish,shopping bags,,
923,whole milk,cream cheese ,,,,,,,
924,frankfurter,turkey,root vegetables,other vegetables,yogurt,rolls/buns,pastry,ready soups,
925,soda,shopping bags,,,,,,,
926,soda,bottled beer,,,,,,,
927,frankfurter,popcorn,,,,,,,
928,berries,whole milk,whipped/sour cream,pickled vegetables,detergent,newspapers,,,
929,canned beer,,,,,,,,
930,frankfurter,pork,white bread,canned vegetables,soda,,,,
931,frankfurter,hamburger meat,whole milk,butter,curd,flour,rice,oil,sugar
932,berries,root vegetables,whole milk,beverages,sugar,soups,coffee,shopping bags,
933,frankfurter,rolls/buns,,,,,,,
934,newspapers,,,,,,,,
935,frozen fish,newspapers,,,,,,,
936,tropical fruit,newspapers,,,,,,,
937,beef,grapes,berries,whole milk,yogurt,rolls/buns,newspapers,pot plants,
938,rolls/buns,coffee,instant coffee,salty snack,specialty chocolate,,,,
939,specialty chocolate,pot plants,,,,,,,
940,sparkling wine,dish cleaner,,,,,,,
941,citrus fruit,napkins,shopping bags,,,,,,
942,onions,herbs,bottled beer,,,,,,
943,whole milk,pastry,detergent,candles,,,,,
944,photo/film,,,,,,,,
945,hamburger meat,,,,,,,,
946,other vegetables,whole milk,white bread,chewing gum,,,,,
947,whole milk,rolls/buns,shopping bags,,,,,,
948,pork,tropical fruit,grapes,hard cheese,soda,napkins,shopping bags,,
949,tropical fruit,grapes,berries,other vegetables,whole milk,butter,dessert,yogurt,whipped/sour cream
950,chicken,pork,citrus fruit,other vegetables,whipped/sour cream,white bread,chewing gum,pot plants,
951,other vegetables,chewing gum,,,,,,,
952,sausage,bottled water,red/blush wine,,,,,,
953,whole milk,whipped/sour cream,baking powder,,,,,,
954,rolls/buns,coffee,,,,,,,
955,hygiene articles,,,,,,,,
956,ice cream,newspapers,,,,,,,
957,curd,whipped/sour cream,domestic eggs,flour,misc. beverages,newspapers,,,
958,whole milk,frozen meals,newspapers,,,,,,
959,onions,whole milk,dessert,domestic eggs,rolls/buns,white bread,coffee,bottled water,
960,finished products,organic sausage,sliced cheese,white bread,fruit/vegetable juice,,,,
961,salt,dog food,long life bakery product,,,,,,
962,tropical fruit,root vegetables,other vegetables,domestic eggs,white bread,brown bread,canned vegetables,soda,fruit/vegetable juice
963,other vegetables,whole milk,yogurt,,,,,,
964,chocolate,,,,,,,,
965,ice cream,,,,,,,,
966,tropical fruit,oil,cat food,,,,,,
967,frankfurter,citrus fruit,whole milk,yogurt,sliced cheese,specialty cheese,pastry,fruit/vegetable juice,
968,butter,pasta,canned fish,softener,flower (seeds),,,,
969,other vegetables,butter milk,frozen fish,salty snack,,,,,
970,tropical fruit,pastry,canned beer,chocolate,,,,,
971,citrus fruit,root vegetables,packaged fruit/vegetables,yogurt,sliced cheese,rolls/buns,white bread,brown bread,zwieback
972,UHT-milk,salt,soda,specialty chocolate,shopping bags,,,,
973,beef,,,,,,,,
974,curd,yogurt,spread cheese,sugar,canned vegetables,,,,
975,citrus fruit,other vegetables,whole milk,dessert,yogurt,frozen vegetables,fruit/vegetable juice,bottled beer,salty snack
976,yogurt,brown bread,bottled beer,white wine,,,,,
977,bottled beer,liquor,red/blush wine,,,,,,
978,grapes,,,,,,,,
979,pork,other vegetables,soda,,,,,,
980,sausage,citrus fruit,berries,other vegetables,whole milk,yogurt,whipped/sour cream,cream cheese ,frozen vegetables
981,frankfurter,chicken,pork,tropical fruit,root vegetables,other vegetables,yogurt,UHT-milk,mayonnaise
982,artif. sweetener,soda,photo/film,,,,,,
